service_id,date,exception_type
27635,20260803,1
27639,20260803,1
27640,20260803,1
27645,20260803,1
27648,20260803,1
27649,20260803,1
27651,20260803,1
27654,20260803,1
27658,20260803,1
27659,20260803,1
27663,20260803,1
27669,20260803,1
27670,20260803,1
27671,20260803,1
27672,20260803,1
27679,20260803,1
27680,20260803,1
27681,20260803,1
27682,20260803,1
27624,20260804,1
27626,20260804,1
27628,20260804,1
27630,20260804,1
27633,20260804,1
27635,20260804,1
27640,20260804,1
27642,20260804,1
27645,20260804,1
27648,20260804,1
27649,20260804,1
27651,20260804,1
27655,20260804,1
27660,20260804,1
27661,20260804,1
27664,20260804,1
27669,20260804,1
27670,20260804,1
27671,20260804,1
27672,20260804,1
27679,20260804,1
27680,20260804,1
27681,20260804,1
27682,20260804,1
27624,20260805,1
27626,20260805,1
27628,20260805,1
27630,20260805,1
27633,20260805,1
27636,20260805,1
27640,20260805,1
27643,20260805,1
27645,20260805,1
27648,20260805,1
27649,20260805,1
27652,20260805,1
27654,20260805,1
27658,20260805,1
27659,20260805,1
27664,20260805,1
27671,20260805,1
27672,20260805,1
27673,20260805,1
27674,20260805,1
27679,20260805,1
27680,20260805,1
27681,20260805,1
27682,20260805,1
27624,20260806,1
27626,20260806,1
27628,20260806,1
27630,20260806,1
27633,20260806,1
27635,20260806,1
27640,20260806,1
27641,20260806,1
27645,20260806,1
27648,20260806,1
27649,20260806,1
27651,20260806,1
27655,20260806,1
27660,20260806,1
27661,20260806,1
27664,20260806,1
27669,20260806,1
27670,20260806,1
27671,20260806,1
27672,20260806,1
27679,20260806,1
27680,20260806,1
27681,20260806,1
27682,20260806,1
27624,20260807,1
27626,20260807,1
27628,20260807,1
27630,20260807,1
27633,20260807,1
27635,20260807,1
27639,20260807,1
27640,20260807,1
27645,20260807,1
27648,20260807,1
27649,20260807,1
27651,20260807,1
27654,20260807,1
27658,20260807,1
27659,20260807,1
27663,20260807,1
27669,20260807,1
27670,20260807,1
27671,20260807,1
27672,20260807,1
27679,20260807,1
27680,20260807,1
27681,20260807,1
27682,20260807,1
27624,20260810,1
27626,20260810,1
27628,20260810,1
27630,20260810,1
27632,20260810,1
27635,20260810,1
27639,20260810,1
27640,20260810,1
27645,20260810,1
27648,20260810,1
27649,20260810,1
27651,20260810,1
27654,20260810,1
27658,20260810,1
27659,20260810,1
27663,20260810,1
27669,20260810,1
27670,20260810,1
27671,20260810,1
27672,20260810,1
27679,20260810,1
27680,20260810,1
27681,20260810,1
27682,20260810,1
27624,20260811,1
27626,20260811,1
27628,20260811,1
27630,20260811,1
27633,20260811,1
27635,20260811,1
27640,20260811,1
27642,20260811,1
27645,20260811,1
27648,20260811,1
27649,20260811,1
27651,20260811,1
27655,20260811,1
27660,20260811,1
27661,20260811,1
27664,20260811,1
27669,20260811,1
27670,20260811,1
27671,20260811,1
27672,20260811,1
27679,20260811,1
27680,20260811,1
27681,20260811,1
27682,20260811,1
27624,20260812,1
27626,20260812,1
27628,20260812,1
27630,20260812,1
27633,20260812,1
27636,20260812,1
27640,20260812,1
27643,20260812,1
27645,20260812,1
27648,20260812,1
27649,20260812,1
27652,20260812,1
27654,20260812,1
27658,20260812,1
27659,20260812,1
27664,20260812,1
27671,20260812,1
27672,20260812,1
27673,20260812,1
27674,20260812,1
27679,20260812,1
27680,20260812,1
27681,20260812,1
27682,20260812,1
27624,20260813,1
27626,20260813,1
27628,20260813,1
27630,20260813,1
27633,20260813,1
27635,20260813,1
27640,20260813,1
27641,20260813,1
27645,20260813,1
27648,20260813,1
27649,20260813,1
27651,20260813,1
27655,20260813,1
27660,20260813,1
27661,20260813,1
27664,20260813,1
27669,20260813,1
27670,20260813,1
27671,20260813,1
27672,20260813,1
27679,20260813,1
27680,20260813,1
27681,20260813,1
27682,20260813,1
27624,20260814,1
27626,20260814,1
27628,20260814,1
27630,20260814,1
27633,20260814,1
27635,20260814,1
27639,20260814,1
27640,20260814,1
27645,20260814,1
27648,20260814,1
27649,20260814,1
27651,20260814,1
27654,20260814,1
27658,20260814,1
27659,20260814,1
27663,20260814,1
27669,20260814,1
27670,20260814,1
27671,20260814,1
27672,20260814,1
27679,20260814,1
27680,20260814,1
27681,20260814,1
27682,20260814,1
27624,20260817,1
27626,20260817,1
27628,20260817,1
27630,20260817,1
27632,20260817,1
27635,20260817,1
27639,20260817,1
27640,20260817,1
27645,20260817,1
27648,20260817,1
27649,20260817,1
27651,20260817,1
27654,20260817,1
27658,20260817,1
27659,20260817,1
27663,20260817,1
27669,20260817,1
27670,20260817,1
27671,20260817,1
27672,20260817,1
27679,20260817,1
27680,20260817,1
27681,20260817,1
27682,20260817,1
27624,20260818,1
27626,20260818,1
27628,20260818,1
27630,20260818,1
27633,20260818,1
27635,20260818,1
27640,20260818,1
27642,20260818,1
27645,20260818,1
27648,20260818,1
27649,20260818,1
27651,20260818,1
27655,20260818,1
27660,20260818,1
27661,20260818,1
27664,20260818,1
27669,20260818,1
27670,20260818,1
27671,20260818,1
27672,20260818,1
27679,20260818,1
27680,20260818,1
27681,20260818,1
27682,20260818,1
27624,20260819,1
27626,20260819,1
27628,20260819,1
27630,20260819,1
27633,20260819,1
27636,20260819,1
27640,20260819,1
27643,20260819,1
27645,20260819,1
27648,20260819,1
27649,20260819,1
27652,20260819,1
27654,20260819,1
27658,20260819,1
27659,20260819,1
27664,20260819,1
27671,20260819,1
27672,20260819,1
27673,20260819,1
27674,20260819,1
27679,20260819,1
27680,20260819,1
27681,20260819,1
27682,20260819,1
27624,20260820,1
27626,20260820,1
27628,20260820,1
27630,20260820,1
27633,20260820,1
27635,20260820,1
27640,20260820,1
27641,20260820,1
27645,20260820,1
27648,20260820,1
27649,20260820,1
27651,20260820,1
27655,20260820,1
27660,20260820,1
27661,20260820,1
27664,20260820,1
27669,20260820,1
27670,20260820,1
27671,20260820,1
27672,20260820,1
27679,20260820,1
27680,20260820,1
27681,20260820,1
27682,20260820,1
27622,20260821,1
27558,20260419,2
27571,20260424,2
27558,20260426,2
27571,20260430,2
27558,20260503,2
27558,20260510,2
27558,20260517,2
27558,20260524,2
27555,20260525,2
27560,20260525,2
27562,20260525,2
27564,20260525,2
27566,20260525,2
27568,20260525,2
27571,20260525,2
27575,20260525,2
27576,20260525,2
27581,20260525,2
27584,20260525,2
27585,20260525,2
27587,20260525,2
27590,20260525,2
27594,20260525,2
27595,20260525,2
27599,20260525,2
27605,20260525,2
27606,20260525,2
27607,20260525,2
27608,20260525,2
27615,20260525,2
27616,20260525,2
27617,20260525,2
27618,20260525,2
27562,20260529,2
27564,20260529,2
27566,20260529,2
27569,20260529,2
27571,20260529,2
27575,20260529,2
27576,20260529,2
27581,20260529,2
27584,20260529,2
27585,20260529,2
27587,20260529,2
27590,20260529,2
27594,20260529,2
27595,20260529,2
27599,20260529,2
27605,20260529,2
27606,20260529,2
27607,20260529,2
27608,20260529,2
27615,20260529,2
27616,20260529,2
27617,20260529,2
27618,20260529,2
27623,20260601,2
27623,20260602,2
27623,20260603,2
27623,20260604,2
27623,20260605,2
27623,20260608,2
27623,20260609,2
27623,20260610,2
27620,20260611,2
27623,20260611,2
27625,20260611,2
27627,20260611,2
27629,20260611,2
27631,20260611,2
27634,20260611,2
27637,20260611,2
27638,20260611,2
27644,20260611,2
27646,20260611,2
27647,20260611,2
27650,20260611,2
27653,20260611,2
27656,20260611,2
27657,20260611,2
27662,20260611,2
27665,20260611,2
27666,20260611,2
27667,20260611,2
27668,20260611,2
27675,20260611,2
27676,20260611,2
27677,20260611,2
27678,20260611,2
27623,20260612,2
27623,20260615,2
27623,20260616,2
27623,20260617,2
27623,20260618,2
27623,20260622,2
27623,20260623,2
27623,20260624,2
27623,20260625,2
27623,20260626,2
27623,20260629,2
27623,20260630,2
27623,20260701,2
27623,20260702,2
27620,20260703,2
27623,20260703,2
27625,20260703,2
27627,20260703,2
27629,20260703,2
27631,20260703,2
27634,20260703,2
27637,20260703,2
27638,20260703,2
27644,20260703,2
27646,20260703,2
27647,20260703,2
27650,20260703,2
27653,20260703,2
27656,20260703,2
27657,20260703,2
27662,20260703,2
27665,20260703,2
27666,20260703,2
27667,20260703,2
27668,20260703,2
27675,20260703,2
27676,20260703,2
27677,20260703,2
27678,20260703,2
27623,20260706,2
27623,20260707,2
27623,20260708,2
27623,20260709,2
27623,20260710,2
27623,20260713,2
27623,20260714,2
27623,20260715,2
27623,20260716,2
27623,20260717,2
27623,20260720,2
27623,20260721,2
27623,20260722,2
27623,20260723,2
27623,20260724,2
27623,20260727,2
27623,20260728,2
27623,20260729,2
27623,20260730,2
27623,20260731,2
27623,20260803,2
27625,20260803,2
27627,20260803,2
27629,20260803,2
27631,20260803,2
27634,20260803,2
27637,20260803,2
27638,20260803,2
27644,20260803,2
27646,20260803,2
27647,20260803,2
27650,20260803,2
27653,20260803,2
27656,20260803,2
27657,20260803,2
27662,20260803,2
27665,20260803,2
27666,20260803,2
27667,20260803,2
27668,20260803,2
27675,20260803,2
27676,20260803,2
27677,20260803,2
27678,20260803,2
27623,20260804,2
27625,20260804,2
27627,20260804,2
27629,20260804,2
27631,20260804,2
27634,20260804,2
27637,20260804,2
27638,20260804,2
27644,20260804,2
27646,20260804,2
27647,20260804,2
27650,20260804,2
27653,20260804,2
27656,20260804,2
27657,20260804,2
27662,20260804,2
27665,20260804,2
27666,20260804,2
27667,20260804,2
27668,20260804,2
27675,20260804,2
27676,20260804,2
27677,20260804,2
27678,20260804,2
27623,20260805,2
27625,20260805,2
27627,20260805,2
27629,20260805,2
27631,20260805,2
27634,20260805,2
27637,20260805,2
27638,20260805,2
27644,20260805,2
27646,20260805,2
27647,20260805,2
27650,20260805,2
27653,20260805,2
27656,20260805,2
27657,20260805,2
27662,20260805,2
27665,20260805,2
27666,20260805,2
27667,20260805,2
27668,20260805,2
27675,20260805,2
27676,20260805,2
27677,20260805,2
27678,20260805,2
27623,20260806,2
27625,20260806,2
27627,20260806,2
27629,20260806,2
27631,20260806,2
27634,20260806,2
27637,20260806,2
27638,20260806,2
27644,20260806,2
27646,20260806,2
27647,20260806,2
27650,20260806,2
27653,20260806,2
27656,20260806,2
27657,20260806,2
27662,20260806,2
27665,20260806,2
27666,20260806,2
27667,20260806,2
27668,20260806,2
27675,20260806,2
27676,20260806,2
27677,20260806,2
27678,20260806,2
27623,20260807,2
27625,20260807,2
27627,20260807,2
27629,20260807,2
27631,20260807,2
27634,20260807,2
27637,20260807,2
27638,20260807,2
27644,20260807,2
27646,20260807,2
27647,20260807,2
27650,20260807,2
27653,20260807,2
27656,20260807,2
27657,20260807,2
27662,20260807,2
27665,20260807,2
27666,20260807,2
27667,20260807,2
27668,20260807,2
27675,20260807,2
27676,20260807,2
27677,20260807,2
27678,20260807,2
27623,20260810,2
27625,20260810,2
27627,20260810,2
27629,20260810,2
27631,20260810,2
27634,20260810,2
27637,20260810,2
27638,20260810,2
27644,20260810,2
27646,20260810,2
27647,20260810,2
27650,20260810,2
27653,20260810,2
27656,20260810,2
27657,20260810,2
27662,20260810,2
27665,20260810,2
27666,20260810,2
27667,20260810,2
27668,20260810,2
27675,20260810,2
27676,20260810,2
27677,20260810,2
27678,20260810,2
27623,20260811,2
27625,20260811,2
27627,20260811,2
27629,20260811,2
27631,20260811,2
27634,20260811,2
27637,20260811,2
27638,20260811,2
27644,20260811,2
27646,20260811,2
27647,20260811,2
27650,20260811,2
27653,20260811,2
27656,20260811,2
27657,20260811,2
27662,20260811,2
27665,20260811,2
27666,20260811,2
27667,20260811,2
27668,20260811,2
27675,20260811,2
27676,20260811,2
27677,20260811,2
27678,20260811,2
27623,20260812,2
27625,20260812,2
27627,20260812,2
27629,20260812,2
27631,20260812,2
27634,20260812,2
27637,20260812,2
27638,20260812,2
27644,20260812,2
27646,20260812,2
27647,20260812,2
27650,20260812,2
27653,20260812,2
27656,20260812,2
27657,20260812,2
27662,20260812,2
27665,20260812,2
27666,20260812,2
27667,20260812,2
27668,20260812,2
27675,20260812,2
27676,20260812,2
27677,20260812,2
27678,20260812,2
27623,20260813,2
27625,20260813,2
27627,20260813,2
27629,20260813,2
27631,20260813,2
27634,20260813,2
27637,20260813,2
27638,20260813,2
27644,20260813,2
27646,20260813,2
27647,20260813,2
27650,20260813,2
27653,20260813,2
27656,20260813,2
27657,20260813,2
27662,20260813,2
27665,20260813,2
27666,20260813,2
27667,20260813,2
27668,20260813,2
27675,20260813,2
27676,20260813,2
27677,20260813,2
27678,20260813,2
27623,20260814,2
27625,20260814,2
27627,20260814,2
27629,20260814,2
27631,20260814,2
27634,20260814,2
27637,20260814,2
27638,20260814,2
27644,20260814,2
27646,20260814,2
27647,20260814,2
27650,20260814,2
27653,20260814,2
27656,20260814,2
27657,20260814,2
27662,20260814,2
27665,20260814,2
27666,20260814,2
27667,20260814,2
27668,20260814,2
27675,20260814,2
27676,20260814,2
27677,20260814,2
27678,20260814,2
27623,20260817,2
27625,20260817,2
27627,20260817,2
27629,20260817,2
27631,20260817,2
27634,20260817,2
27637,20260817,2
27638,20260817,2
27644,20260817,2
27646,20260817,2
27647,20260817,2
27650,20260817,2
27653,20260817,2
27656,20260817,2
27657,20260817,2
27662,20260817,2
27665,20260817,2
27666,20260817,2
27667,20260817,2
27668,20260817,2
27675,20260817,2
27676,20260817,2
27677,20260817,2
27678,20260817,2
27623,20260818,2
27625,20260818,2
27627,20260818,2
27629,20260818,2
27631,20260818,2
27634,20260818,2
27637,20260818,2
27638,20260818,2
27644,20260818,2
27646,20260818,2
27647,20260818,2
27650,20260818,2
27653,20260818,2
27656,20260818,2
27657,20260818,2
27662,20260818,2
27665,20260818,2
27666,20260818,2
27667,20260818,2
27668,20260818,2
27675,20260818,2
27676,20260818,2
27677,20260818,2
27678,20260818,2
27623,20260819,2
27625,20260819,2
27627,20260819,2
