service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,events_and_status,operating_days,duty
27590,1,0,1,0,1,0,0,20260419,20260530,ROon,mwf,40-08
27591,0,1,0,1,0,0,0,20260419,20260530,ROon,ut,40-08
27594,1,0,1,0,1,0,0,20260419,20260530,RQon,mwf,60-04
27595,1,0,1,0,1,0,0,20260419,20260530,RQon,mwf,60-23
27596,0,1,0,1,0,0,0,20260419,20260530,RQon,ut,60-04
27597,0,1,0,1,0,0,0,20260419,20260530,RQon,ut,60-23
27599,1,0,0,0,1,0,0,20260419,20260530,RRon,mf,123-02
27600,0,1,1,1,0,0,0,20260419,20260530,RRon,uwt,123-02
27605,1,1,0,1,1,0,0,20260419,20260530,RUon,mutf,E-02
27606,1,1,0,1,1,0,0,20260419,20260530,RUon,mutf,E-01
27609,0,0,1,0,0,0,0,20260419,20260530,RUon,w,E-01
27610,0,0,1,0,0,0,0,20260419,20260530,RUon,w,E-02
